,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,age_bins
0,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,Policy Holder,Sport - Liability,Sport,more than 69000,0,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,1994,Liability,teens
1,Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,young
2,Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
3,Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,old
4,Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
5,Oct,4,Friday,Honda,Urban,Wednesday,Nov,1,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,none,5 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,teens
6,Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
7,Nov,1,Friday,Honda,Urban,Tuesday,Mar,4,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
8,Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,1994,Collision,young
9,Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,middle
10,Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
11,Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,middle
12,Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,young
13,Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
14,Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,middle
15,Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
16,Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
17,Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
18,May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,young
19,Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
20,Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
